id,Nombre,Biblioteca de figuras,ID de página,Contenido por,Grupo,Origen de línea,Destino de la línea,Flecha de origen,Flecha de destino,Estado,Área de texto 1,Comentarios
1,Documento,,,,,,,,,Completo,Diagrama de Bloques,
2,Página,,,,,,,,,,Página 1,
3,Proceso,Figuras de diagrama de flujo/contenedores,2,,,,,,,,App ORPER,
4,Proceso,Figuras de diagrama de flujo/contenedores,2,,,,,,,,Calendario,
5,Proceso,Figuras de diagrama de flujo/contenedores,2,,,,,,,,Recordatorios,
6,Proceso,Figuras de diagrama de flujo/contenedores,2,,,,,,,,Notas,
7,Proceso,Figuras de diagrama de flujo/contenedores,2,,,,,,,,Finanzas,
8,Conector,Figuras de diagrama de flujo/contenedores,2,,,,,,,,User,
9,Proceso,Figuras de diagrama de flujo/contenedores,2,,,,,,,,"SQLite
(Base de datos local)",
10,Línea,,2,,,8,3,None,Arrow,,,
11,Línea,,2,,,5,9,None,Arrow,,,
12,Línea,,2,,,4,9,None,Arrow,,,
13,Línea,,2,,,7,9,None,Arrow,,,
14,Línea,,2,,,6,9,None,Arrow,,,