id,Nombre,Biblioteca de figuras,ID de página,Contenido por,Grupo,Origen de línea,Destino de la línea,Flecha de origen,Flecha de destino,Estado,Área de texto 1,Área de texto 2,Área de texto 3,Área de texto 4,Área de texto 5,Área de texto 6,Área de texto 7,Comentarios
1,Documento,,,,,,,,,Borrador,Modelo Entidad-Relación (BD),,,,,,,
2,Página,,,,,,,,,,Página 1,,,,,,,
3,Entidad (campo),Relación entre entidades,2,,,,,,,,Usuario,id : INTEGER <<pk>>,nombre : TEXT,apellido :TEXT,email : TEXT,contrasena : TEXT,profilePicturePath : TEXT,
4,Entidad (campo),Relación entre entidades,2,,,,,,,,Recordatorios,id : INTEGER <<pk>>,userId : INTEGER <<fk>>,titulo : TEXT,descripcion : TEXT,fecha : TEXT,hora : TEXT,
5,Entidad (campo),Relación entre entidades,2,,,,,,,,Notas,id : INTEGER <<pk>>,userId : INTEGER <<fk>>,titulo : TEXT,descripcion : TEXT,fecha_creacion : TEXT,,
6,Entidad (campo),Relación entre entidades,2,,,,,,,,Recordatorios,id : INTEGER <<pk>>,userId : INTEGER <>fk>>,monto : REAL ,descripcion : TEXT,tipo : TEXT,fecha : TEXT,
7,MinimalTextBlock,Estándar,2,,,,,,,,N,,,,,,,
8,MinimalTextBlock,Estándar,2,,,,,,,,1,,,,,,,
9,MinimalTextBlock,Estándar,2,,,,,,,,N,,,,,,,
10,MinimalTextBlock,Estándar,2,,,,,,,,N,,,,,,,
11,MinimalTextBlock,Estándar,2,,,,,,,,1,,,,,,,
12,MinimalTextBlock,Estándar,2,,,,,,,,ORPER,,,,,,,
13,Línea,,2,,,4,3,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,
14,Línea,,2,,,5,3,CFN ERD One Arrow,CFN ERD Many Arrow,,1,,,,,,,
15,Línea,,2,,,6,3,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,